Feature,PearsonR,PearsonP,SpearmanR,SpearmanP,AbsPearsonR,AbsSpearmanR
T1_s,-0.0135022269753206,0.176330657808169,-0.0144390587802865,0.148186946621853,0.0135022269753206,0.0144390587802865
T_front,-0.0120839708972131,0.226239881121883,-0.0145281329555555,0.145700736162128,0.0120839708972131,0.0145281329555555
Q_Nm3h,-0.0107325600482481,0.282481445113217,-0.0148326276045838,0.137442514974393,0.0107325600482481,0.0148326276045838
T_mean,-0.0105688354569019,0.289888923959243,-0.00877368962511637,0.379622846524265,0.0105688354569019,0.00877368962511637
U3_kV,-0.0102112714102969,0.30651740416097,-0.0105578295605685,0.290391517282797,0.0102112714102969,0.0105578295605685
U_back,-0.0094664796267469,0.343144752786598,-0.0138762085629592,0.164652070684198,0.0094664796267469,0.0138762085629592
T3_s,-0.00939423089257744,0.346840849427529,-0.00671359964886596,0.501399077461107,0.00939423089257744,0.00671359964886596
T2_s,-0.00860401637444999,0.388907767708895,-0.0119749732476262,0.230455728176633,0.00860401637444999,0.0119749732476262
U4_kV,-0.00719655390784507,0.471122686184319,-0.0141028367248313,0.157864086519154,0.00719655390784507,0.0141028367248313
U_sqsum,-0.00638985353493695,0.522257192443352,-0.00514733574364559,0.606242609554261,0.00638985353493695,0.00514733574364559
U2_kV,-0.00638263451269017,0.522727325864108,-0.00223885749340734,0.822606614972502,0.00638263451269017,0.00223885749340734
U_sum,-0.0063395192596521,0.525539692693673,-0.00584217430137956,0.558530792666677,0.0063395192596521,0.00584217430137956
U_mean,-0.0063395192596521,0.525539692693673,-0.00584217430137956,0.558530792666677,0.0063395192596521,0.00584217430137956
C_in_gNm3,0.00595302838983962,0.551090989148974,0.00276730689094301,0.781694519972275,0.00595302838983962,0.00276730689094301
U_ratio_front_back,0.00555601875242727,0.577958218125584,0.0136080398944708,0.172965443182446,0.00555601875242727,0.0136080398944708
Temp_C,0.00540764257239857,0.588155240875306,-0.000493348388127078,0.960598431744329,0.00540764257239857,0.000493348388127078
T_diff_back_front,0.00504517613166589,0.613408493395976,0.0124127935567227,0.213855736924387,0.00504517613166589,0.0124127935567227
T_back,-0.00476305322913554,0.633388826116833,0.000978371501526109,0.921954838909262,0.00476305322913554,0.000978371501526109
LoadPressure,0.00386804118355665,0.698506694272347,0.000214663992058728,0.982850077623355,0.00386804118355665,0.000214663992058728
DustLoad,0.0036890543407455,0.711819471472751,-0.000486999184115722,0.961105110359334,0.0036890543407455,0.000486999184115722
U_front,-0.00226780699314202,0.820351737454175,0.00108863756666045,0.913191882694295,0.00226780699314202,0.00108863756666045
U1_kV,0.00208013075806879,0.834995416471238,0.00292539734499215,0.769566234711807,0.00208013075806879,0.00292539734499215
T4_s,0.000500643959474943,0.960016250866093,0.0069148204542942,0.488660765615554,0.000500643959474943,0.0069148204542942
