Feature,PartialR,PartialP,AbsPartialR
U_back,0.0633123149773678,2.2101147377717e-10,0.0633123149773678
U3_kV,0.0625902199458835,3.53109568165268e-10,0.0625902199458835
T2_s,0.0605348410055999,1.30269817597552e-09,0.0605348410055999
T_front,0.0594695736535905,2.52072767330061e-09,0.0594695736535905
U_sum,0.0548361327531027,3.9069093840078e-08,0.0548361327531027
U_mean,0.0548361327531027,3.9069093840078e-08,0.0548361327531027
U4_kV,0.0536208285154118,7.74165688005072e-08,0.0536208285154118
U_sqsum,0.053598362628665,7.83907595277406e-08,0.053598362628665
T1_s,0.0470784881557055,2.39703311744493e-06,0.0470784881557055
T_diff_back_front,-0.0468756255047964,2.64850280346433e-06,0.0468756255047964
LoadPressure,-0.0381256506446297,0.000133992803786423,0.0381256506446297
DustLoad,-0.0370476072637232,0.000206490925294101,0.0370476072637232
T_mean,0.0344589118226648,0.000557523308654834,0.0344589118226648
U_front,0.033517872472358,0.000787450656595028,0.033517872472358
U1_kV,0.0326752263883792,0.001065167836525,0.0326752263883792
U2_kV,0.0309130115293897,0.00196061533185739,0.0309130115293897
U_ratio_front_back,-0.0253903492975582,0.0109966006114354,0.0253903492975582
Q_Nm3h,-0.0174568475730367,0.0804416135848365,0.0174568475730367
T4_s,-0.0125231072164304,0.20983542471896,0.0125231072164304
Temp_C,-0.0105533057716451,0.2906223253836,0.0105533057716451
T_back,-0.00598303402765059,0.549105540074412,0.00598303402765059
T3_s,0.00162139255440035,0.871027049838326,0.00162139255440035
C_in_gNm3,-0.0010210631684615,0.918564952441437,0.0010210631684615
