RappingParam,Group,Mean_RappingPeriod_s,SampleCount,PeakRate
T1_s,1,198.814049586777,1936,0.00413223140495868
T1_s,2,219.408674698795,2075,0.0091566265060241
T1_s,3,232.103540772532,1864,0.0107296137339056
T1_s,4,242.955705344246,2077,0.0129995185363505
T1_s,5,256.984111699567,2077,0.00818488204140587
T2_s,1,198.644946126219,1949,0.00359158542842483
T2_s,2,219.459337349398,1992,0.00652610441767068
T2_s,3,232.129954841947,1993,0.00802809834420472
T2_s,4,242.92599901332,2027,0.0123334977799704
T2_s,5,257.272243713733,2068,0.0145067698259188
T3_s,1,403.768470343392,1922,0.00520291363163371
T3_s,2,430.437720625315,1983,0.0121028744326778
T3_s,3,444.266961651917,2034,0.0117994100294985
T3_s,4,454.407221664995,1994,0.00902708124373119
T3_s,5,467.945610687023,2096,0.00715648854961832
T4_s,1,403.817951318458,1972,0.0050709939148073
T4_s,2,430.517493472585,1915,0.0151436031331593
T4_s,3,444.272183449651,2006,0.0094715852442672
T4_s,4,454.397549019608,2040,0.00784313725490196
T4_s,5,468.087786259542,2096,0.00811068702290076
